"['you', 'know', 'kind', 'girl', 'eye', 'cover', 'live', '\\xe2\\x80\\x9cwhi', 'soul', 'respect', 'spirit', 'anyth', 'proof', 'mean', 'show', 'remain', '15', 'put', '[', 'begin', 'especi', 'roof', 'touch', 'search', '1n', 'christma', 'son', 'burn', '5', 'lost', 'experi', '1', 'yet', 'our', 'count', 'main']"
31.0,9.712631214428624,2.3521825181113627,4.431363764158987,2.1583624920952498,2.3521825181113627,1.0,0.0,1.3010299956639813,1.3010299956639813,1.3010299956639813,2.0,1.3010299956639813,1.0,1.0791812460476249,1.1760912590556813,1.1760912590556813,1.0791812460476249,0.0,0.0,0.0,1.1760912590556813,0.0,0.0,0.0,0.0,2.0,0.0,1.8661064207387736,0.0,0.0,9.330532103693868,0.0,2.0,0.0,1.0791812460476249
18.0,2.1583624920952498,0.0,0.0,2.1583624920952498,0.0,2.0,0.0,3.9030899869919438,0.0,0.0,2.0,0.0,1.0,1.0791812460476249,0.0,1.1760912590556813,0.0,18.8174601448909,1.1760912590556813,1.3010299956639813,1.1760912590556813,2.6020599913279625,2.3521825181113627,0.0,0.0,0.0,0.0,1.8661064207387736,0.0,1.0791812460476249,1.8661064207387736,0.0,7.0,1.0791812460476249,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,1.1760912590556813,0.0,0.0,7.056547554334088,0.0,1.3010299956639813,0.0,0.0,0.0,1.4771212547196624,1.3010299956639813,1.0,1.3010299956639813,1.8661064207387736,0.0,0.0,2.7991596311081604,1.3010299956639813,0.0,1.0791812460476249,1.0791812460476249
1.0,5.395906230238125,0.0,0.0,0.0,1.1760912590556813,1.0,1.4771212547196624,0.0,0.0,0.0,1.0,1.3010299956639813,1.0,2.1583624920952498,0.0,0.0,2.1583624920952498,19.993551403946583,0.0,0.0,1.1760912590556813,0.0,1.1760912590556813,0.0,0.0,1.0,0.0,0.9330532103693868,1.3010299956639813,2.1583624920952498,10.263585314063254,1.3010299956639813,7.0,0.0,0.0
36.0,0.0,1.1760912590556813,0.0,1.0791812460476249,0.0,0.0,0.0,0.0,0.0,23.418539921951663,1.0,0.0,2.0,0.0,1.1760912590556813,1.1760912590556813,1.0791812460476249,0.0,1.1760912590556813,0.0,0.0,2.6020599913279625,0.0,0.0,0.0,4.0,1.3010299956639813,1.8661064207387736,1.3010299956639813,1.0791812460476249,12.129691734802028,0.0,11.0,1.0791812460476249,1.0791812460476249
21.0,6.475087476285749,2.3521825181113627,0.0,3.2375437381428744,7.056547554334088,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0791812460476249,0.0,0.0,2.1583624920952498,0.0,1.1760912590556813,0.0,0.0,0.0,1.1760912590556813,0.0,1.3010299956639813,3.0,0.0,0.9330532103693868,0.0,1.0791812460476249,6.531372472585708,0.0,21.0,1.0791812460476249,1.0791812460476249
